ASE23324324ESD,files/folder/test.dll,microsoft inc
BQW57384573FSD,files/folder/test.dll,microsoft inc
RSD56373423KLD,files/app_folder/app.exe,adobe systems
ASE56373423TYD,files/game_folder/game.dll,epic games
FWE34325323RES,files/security_folder/antivirus.dll,symantec corp
LWE34243243TWD,files/media_folder/player.dll,vlc media foundation
TWE33432543GDS,files/folder/test.dll,microsoft inc
PWE23324324QAS,files/update_folder/update.dll,oracle corp
ASE92324324QWD,files/folder/test.dll,microsoft inc
TRE44234325GWS,files/backup_folder/backup.dll,backup inc
VRE84234325GWS,files/app_folder/app.exe,adobe systems
SDE64325324TRE,files/system_folder/system.dll,microsoft inc
AFE73325324JRS,files/system_folder/system.dll,microsoft inc
BSF47325324DRE,files/game_folder/game.dll,epic games
NVE44255325GTW,files/folder/test.dll,microsoft inc
WEQ84235325WQS,files/backup_folder/backup.dll,backup inc
YUE73235325KLS,files/update_folder/update.dll,oracle corp
GTE63325324TRE,files/security_folder/antivirus.dll,symantec corp
MWE63255325BWS,files/media_folder/player.dll,vlc media foundation
UTE74235325QRS,files/folder/test.dll,microsoft inc
PUE53255325VBS,files/security_folder/antivirus.dll,symantec corp
TRE33255325NQS,files/system_folder/system.dll,microsoft inc
